"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Jordyn Brooks",MIA,"LB1","6","-","-"
"2",1,"Jack Campbell",DET,"LB2","6","-","-"
"3",1,"Carson Schwesinger",CLE,"LB3","11","-","-"
"4",1,"Roquan Smith",BAL,"LB4","13","-","-"
"5",1,"Blake Cashman",MIN,"LB5","6","-","-"
"6",1,"Ernest Jones IV",SEA,"LB6","11","-","-"
"7",1,"Fred Warner",SF,"LB7","8","-","-"
"8",1,"Foyesade Oluokun",JAC,"LB8","7","-","-"
"9",2,"Myles Garrett",LAR,"DE1","11","-","-"
"10",2,"Jamien Sherwood",NYJ,"LB9","13","-","-"
"11",2,"Nate Landman",LAR,"LB10","11","-","-"
"12",2,"Nick Bolton",KC,"LB11","5","-","-"
"13",2,"Cedric Gray",TEN,"LB12","9","-","-"
"14",2,"Zack Baun",PHI,"LB13","10","-","-"
"15",2,"Aidan Hutchinson",DET,"DE2","6","-","-"
"16",2,"Quay Walker",LV,"LB14","13","-","-"
"17",2,"Will Anderson Jr.",HOU,"DE3","8","-","-"
"18",2,"Tremaine Edmunds",NYG,"LB15","8","-","-"
"19",2,"Alex Singleton",DEN,"LB16","10","-","-"
"20",3,"Kyle Hamilton",BAL,"S1","13","-","-"
"21",3,"Maxx Crosby",LV,"DE4","13","-","-"
"22",3,"Derwin James Jr.",LAC,"S2","7","-","-"
"23",3,"Zaire Franklin",GB,"LB17","11","-","-"
"24",3,"Edgerrin Cooper",GB,"LB18","11","-","-"
"25",3,"Nick Cross",WAS,"S3","7","-","-"
"26",3,"Sonny Styles",WAS,"LB19","7","-","-"
"",3
"27",3,"Kaden Elliss",NO,"LB20","8","-","-"
"28",3,"Nick Emmanwori",SEA,"S4","11","-","-"
"29",3,"Tykee Smith",TB,"S5","10","-","-"
"30",3,"Robert Spillane",NE,"LB21","11","-","-"
"31",3,"CJ Allen",IND,"LB22","13","-","-"
"32",3,"Budda Baker",ARI,"S6","14","-","-"
"33",3,"Devin Bush Jr.",CHI,"LB23","10","-","-"
"34",3,"Devin Lloyd",CAR,"LB24","5","-","-"
"35",3,"Daiyan Henley",LAC,"LB25","7","-","-"
"36",3,"Azeez Al-Shaair",HOU,"LB26","8","-","-"
"37",3,"Jessie Bates III",ATL,"S7","11","-","-"
"38",3,"T.J. Edwards",CHI,"LB27","10","-","-"
"39",3,"Kam Curl",LAR,"S8","11","-","-"
"40",4,"Nick Bosa",SF,"DE5","8","-","-"
"41",4,"Jeremy Chinn",LV,"S9","13","-","-"
"42",4,"Patrick Queen",PIT,"LB28","9","-","-"
"43",4,"Nakobe Dean",LV,"LB29","13","-","-"
"44",4,"Tre'von Moehrig",CAR,"S10","5","-","-"
"45",4,"Terrel Bernard",BUF,"LB30","7","-","-"
"46",4,"Quincy Williams",CLE,"LB31","11","-","-"
"47",4,"Barrett Carter",CIN,"LB32","6","-","-"
"48",4,"Talanoa Hufanga",DEN,"S11","10","-","-"
"49",4,"Alex Anzalone",TB,"LB33","10","-","-"
"50",4,"Demario Davis",NYJ,"LB34","13","-","-"
"51",4,"Divine Deablo",ATL,"LB35","11","-","-"
"52",4,"Jordan Battle",CIN,"S12","6","-","-"
"53",4,"Kevin Byard III",NE,"S13","11","-","-"
"54",4,"Tyrel Dodson",FA,"LB36","-","-","-"
"55",4,"Xavier McKinney",GB,"S14","11","-","-"
"56",4,"Chamarri Conner",KC,"S15","5","-","-"
"57",4,"Mack Wilson Sr.",ARI,"LB37","14","-","-"
"58",4,"Antoine Winfield Jr.",TB,"S16","10","-","-"
"59",4,"Quentin Lake",LAR,"S17","11","-","-"
"60",5,"Xavier Watts",ATL,"S18","11","-","-"
"61",5,"Danielle Hunter",HOU,"DE6","8","-","-"
"62",5,"Eric Wilson",MIN,"LB38","6","-","-"
"63",5,"DeMarvion Overshown",DAL,"LB39","14","-","-"
"64",5,"Drue Tranquill",KC,"LB40","5","-","-"
"65",5,"Brian Burns",NYG,"DE7","8","-","-"
"66",5,"DeShon Elliott",PIT,"S19","9","-","-"
"67",5,"Jalen Pitre",HOU,"S20","8","-","-"
