"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","491.8","333.4","3815.2","27.5","11.2","118.1","586.3","11.8","4.1","372.7"
"Lamar Jackson","BAL","449.2","291.9","3651.5","28.3","9.6","118.7","640.3","3.2","4.2","324.8"
"Jayden Daniels","WAS","492.8","321.8","3676.4","23.8","11.0","130.0","685.4","4.7","2.8","322.1"
"Drake Maye","NE","495.8","340.7","3998.7","27.7","10.4","99.4","493.2","3.7","5.6","320.7"
"Jalen Hurts","PHI","488.0","316.8","3568.8","24.2","7.4","111.8","461.1","8.4","4.0","320.3"
"Joe Burrow","CIN","591.5","395.4","4173.9","33.3","11.6","48.2","178.9","1.4","1.9","310.8"
"Jaxson Dart","NYG","509.4","324.3","3587.3","22.3","11.0","100.9","549.3","6.5","2.9","309.6"
"Trevor Lawrence","JAC","546.0","336.1","3912.8","27.0","13.0","72.5","322.0","4.9","3.4","306.7"
"Brock Purdy","SF","547.5","369.6","4151.9","27.3","14.3","70.5","304.0","3.8","4.3","305.9"
"Dak Prescott","DAL","581.5","383.7","4288.3","30.9","11.3","49.1","173.3","1.7","2.8","305.8"
"Patrick Mahomes II","KC","555.2","353.7","3837.2","27.1","11.6","60.4","359.7","3.4","2.0","302.8"
"Caleb Williams","CHI","550.6","330.5","3871.9","27.4","9.3","79.4","398.4","2.1","3.0","301.5"
"Justin Herbert","LAC","529.4","349.8","3856.5","26.2","11.7","78.4","450.2","2.1","2.8","299.5"
"Bo Nix","DEN","555.2","354.9","3742.6","26.8","11.0","79.1","341.3","3.7","2.0","297.9"
"Matthew Stafford","LAR","547.0","352.7","4188.8","34.0","8.6","23.7","33.1","0.2","2.8","293.8"
"Kyler Murray","MIN","518.8","344.0","3641.9","24.4","14.4","82.7","496.1","3.5","4.0","291.3"
"Jared Goff","DET","547.2","373.8","4308.8","31.7","10.0","23.7","48.2","0.2","3.7","288.0"
"Tyler Shough","NO","550.8","362.9","3950.0","22.2","11.7","78.2","330.1","4.1","3.6","285.3"
"Baker Mayfield","TB","541.5","348.8","3840.0","25.9","12.9","57.7","362.4","1.5","3.7","281.8"
"Daniel Jones","IND","513.0","337.5","3759.9","23.5","11.4","66.0","250.7","4.0","3.8","274.4"
"Malik Willis","MIA","493.2","318.2","3372.0","18.1","12.5","124.9","642.7","4.1","6.1","271.7"
"Jordan Love","GB","511.3","331.3","3846.1","26.7","10.2","48.5","204.7","1.0","3.0","271.0"
"Sam Darnold","SEA","506.5","336.7","4086.1","27.0","13.1","44.0","131.9","0.6","5.3","264.7"
"C.J. Stroud","HOU","550.7","347.1","3875.7","23.5","11.4","54.4","239.0","1.0","3.5","260.7"
"Bryce Young","CAR","525.7","334.2","3458.2","22.8","12.0","57.9","261.5","3.0","3.0","256.0"
"Geno Smith","NYJ","520.7","340.8","3460.8","22.2","14.8","57.4","210.8","1.0","2.2","235.1"
"Cam Ward","TEN","563.6","345.0","3587.2","19.8","10.4","44.2","185.2","2.0","5.4","232.3"
"Jacoby Brissett","ARI","541.3","346.9","3585.6","19.3","10.4","48.7","212.9","1.4","4.8","230.4"
"Aaron Rodgers","PIT","527.4","339.3","3484.1","21.7","9.4","26.0","82.5","0.6","2.7","223.4"
"Fernando Mendoza","LV","431.2","275.8","2879.2","15.7","12.2","50.4","233.4","1.3","2.7","191.7"
"Deshaun Watson","CLE","304.3","187.2","1992.4","10.8","7.5","44.3","191.7","1.2","3.3","135.1"
"Tua Tagovailoa","ATL","293.5","191.7","2051.3","11.2","6.3","15.0","36.7","0.1","1.8","121.0"
"Michael Penix Jr.","ATL","266.8","165.4","1864.2","10.5","5.0","18.8","62.9","0.6","2.0","117.5"
"Shedeur Sanders","CLE","242.0","147.1","1631.6","8.1","6.5","24.8","143.0","0.6","1.5","106.1"
"Kirk Cousins","LV","113.9","74.2","780.1","5.0","3.9","5.2","9.0","0.1","0.9","47.0"
"Carson Beck","ARI","64.6","40.4","449.8","2.8","1.8","6.8","26.7","0.1","0.5","29.9"
"Ty Simpson","LAR","40.9","25.8","298.1","2.6","0.8","4.1","18.4","0.0","0.1","23.4"
"Marcus Mariota","WAS","34.3","21.6","253.4","2.0","0.8","1.4","7.9","0.0","0.1","18.0"
"Quinn Ewers","JAC","25.8","16.2","180.6","1.3","0.9","3.3","11.7","0.0","0.1","12.7"
"Riley Leonard","IND","27.3","17.2","192.7","1.3","0.5","2.7","11.5","0.0","0.6","12.4"
"J.J. McCarthy","MIN","27.7","16.9","196.0","1.0","0.9","3.1","14.4","0.0","0.1","12.3"
"Justin Fields","KC","26.2","16.3","175.2","1.0","0.8","3.6","18.4","0.1","0.1","12.1"
"Jameis Winston","NYG","26.1","15.5","194.3","1.3","1.3","2.6","10.9","0.0","0.6","11.7"
"Tommy DeVito","NE","20.8","13.8","153.6","1.0","0.2","3.4","15.3","0.0","0.1","11.5"
"Tyson Bagent","CHI","23.1","15.1","169.9","1.0","0.2","2.8","8.7","0.0","0.1","11.5"
"Tyrod Taylor","GB","23.0","14.6","165.7","1.0","0.5","3.1","14.1","0.0","0.1","11.4"
"Jarrett Stidham","DEN","23.1","14.4","152.2","1.1","0.3","3.3","12.9","0.0","0.1","11.2"
"Davis Mills","HOU","26.2","16.0","175.8","0.9","0.5","2.7","9.0","0.0","0.1","11.1"
