"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Jahmyr Gibbs","DET","274.8","1383.6","13.8","71.3","581.1","4.1","1.1","337.4"
"Bijan Robinson","ATL","285.2","1391.8","8.8","77.3","705.6","3.5","1.8","318.4"
"Christian McCaffrey","SF","269.7","1093.6","8.7","78.3","690.3","4.6","1.1","295.0"
"Jonathan Taylor","IND","326.9","1505.4","12.9","42.8","341.2","1.5","1.7","288.7"
"Derrick Henry","BAL","316.0","1577.2","13.4","18.1","175.0","0.7","1.7","265.8"
"De'Von Achane","MIA","238.4","1200.7","6.0","65.2","491.7","4.0","1.0","259.8"
"James Cook III","BUF","287.8","1405.7","10.3","33.3","283.5","1.9","2.4","254.1"
"Chase Brown","CIN","238.7","1037.0","7.8","63.8","427.7","4.0","1.1","246.6"
"Saquon Barkley","PHI","295.8","1298.0","8.2","41.7","330.3","2.1","1.0","243.6"
"Kenneth Walker III","KC","262.5","1192.0","8.7","45.8","352.7","1.2","0.9","234.8"
"Ashton Jeanty","LV","258.0","1040.2","7.4","56.7","400.3","3.0","1.1","232.4"
"Omarion Hampton","LAC","243.7","1034.5","9.5","50.2","342.8","1.9","1.0","229.0"
"Jeremiyah Love","ARI","237.2","1063.8","6.9","54.7","428.7","2.1","2.2","226.0"
"Breece Hall","NYJ","249.1","1114.3","6.2","46.4","404.3","2.2","1.7","222.4"
"Kyren Williams","LAR","235.5","1096.4","9.7","33.5","237.0","2.2","1.5","218.6"
"Javonte Williams","DAL","256.1","1158.7","10.4","33.0","191.9","1.2","1.6","217.5"
"Travis Etienne Jr.","NO","253.2","1070.3","5.4","45.4","358.1","3.0","1.0","214.1"
"Cam Skattebo","NYG","237.4","988.9","7.9","43.9","343.2","2.2","1.6","212.6"
"D'Andre Swift","CHI","232.5","1049.7","8.0","35.2","303.8","1.0","1.0","205.5"
"Quinshon Judkins","CLE","289.8","1106.7","8.1","33.0","223.5","0.6","0.9","199.9"
"Bucky Irving","TB","252.4","1004.4","5.8","39.6","333.0","2.2","1.0","199.7"
