"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Trey McBride","ARI","108.9","1068.0","6.8","0.2","201.4"
"Brock Bowers","LV","96.6","1021.8","7.5","0.2","195.3"
"Colston Loveland","CHI","79.3","928.3","6.7","0.2","172.1"
"Tyler Warren","IND","78.9","878.0","5.5","0.3","159.7"
"Harold Fannin Jr.","CLE","82.6","834.0","5.7","0.8","157.5"
"George Kittle","SF","71.0","802.2","6.3","0.2","153.1"
"Kyle Pitts Sr.","ATL","77.2","845.2","4.4","0.1","149.2"
"Sam LaPorta","DET","70.5","813.7","5.5","0.2","149.0"
"Dallas Goedert","PHI","65.5","688.8","7.6","0.2","146.6"
"Travis Kelce","KC","74.9","784.8","4.8","0.3","144.4"
"Tucker Kraft","GB","59.9","761.1","6.4","0.2","144.0"
"Mark Andrews","BAL","59.6","618.5","7.7","0.3","137.3"
"Isaiah Likely","NYG","63.7","744.7","5.0","1.3","133.9"
"Dalton Kincaid","BUF","57.1","706.6","5.5","0.2","131.6"
"Jake Ferguson","DAL","74.0","605.9","5.9","1.4","130.4"
"Hunter Henry","NE","55.5","651.1","5.4","0.1","125.2"
"Juwan Johnson","NO","64.7","730.3","3.3","1.3","122.4"
"Brenton Strange","JAC","60.0","661.3","4.3","0.2","121.8"
"Dalton Schultz","HOU","65.9","626.0","3.4","0.2","115.4"
"T.J. Hockenson","MIN","64.1","574.6","3.3","0.2","108.8"
"Pat Freiermuth","PIT","53.0","559.9","4.3","0.2","107.6"
"Greg Dulcich","MIA","54.5","620.7","3.2","1.2","106.2"
"Terrance Ferguson","LAR","39.0","532.5","5.1","0.2","103.2"
"Cade Otton","TB","54.8","557.1","3.1","0.1","101.4"
"Kenyon Sadiq","NYJ","49.0","537.9","4.0","0.7","100.8"
"AJ Barner","SEA","48.6","469.2","4.9","0.2","100.0"
"Chig Okonkwo","WAS","52.4","568.9","2.8","0.1","99.5"
"Darren Waller","CAR","43.3","446.2","4.7","0.1","94.1"
"Evan Engram","DEN","53.4","475.5","2.7","0.1","90.3"
"Gunnar Helm","TEN","48.9","444.0","3.1","0.2","87.1"
"David Njoku","LAC","42.3","396.6","4.3","0.1","86.3"
"Mike Gesicki","CIN","41.4","434.3","3.6","0.1","85.4"
"Oronde Gadsden II","LAC","37.8","474.9","2.8","0.6","82.2"
"Mason Taylor","NYJ","46.2","406.0","2.5","0.1","78.2"
"Colby Parkinson","LAR","33.4","342.2","4.0","0.6","73.8"
"Michael Mayer","LV","40.0","376.3","2.1","0.1","70.0"
"Dawson Knox","BUF","28.7","331.4","2.9","0.1","64.9"
"Theo Johnson","NYG","28.1","313.3","2.9","0.1","62.4"
"Darnell Washington","PIT","30.7","329.0","2.0","0.6","58.7"
"Tyler Higbee","LAR","25.1","296.3","2.4","0.0","56.6"
"Cole Kmet","CHI","26.3","274.3","2.2","0.1","53.8"
"Erick All Jr.","CIN","30.5","268.2","1.9","0.1","53.5"
"Noah Fant","NO","29.3","274.4","1.6","1.6","48.6"
"Will Kacmarek","MIA","26.5","251.0","1.9","0.6","48.5"
"Elijah Arroyo","SEA","23.5","240.1","1.9","0.2","46.6"
"Charlie Kolar","LAC","20.2","230.3","2.0","0.1","45.3"
"Jonnu Smith","GB","22.2","201.4","2.0","0.1","43.2"
"Brock Wright","DET","20.9","187.6","2.3","0.0","43.0"
"Josh Oliver","MIN","18.6","194.0","2.4","0.1","42.8"
"Daniel Bellinger","TEN","19.3","222.2","1.8","0.0","42.3"
"Adam Trautman","DEN","21.3","216.2","1.6","0.1","42.0"
"Austin Hooper","ATL","21.9","225.4","1.3","0.1","41.0"
"Eli Raridon","NE","20.7","214.6","1.7","0.6","40.8"
"Tommy Tremble","CAR","21.1","197.8","1.8","0.1","40.8"
"Noah Gray","KC","21.0","211.7","1.5","0.1","40.4"
"Eli Stowers","PHI","20.9","214.4","1.4","0.6","39.1"
"Davis Allen","LAR","16.9","157.2","1.9","0.0","35.3"
"Ben Sims","MIA","19.5","184.8","1.2","0.0","35.1"
"Ja'Tavion Sanders","CAR","22.2","178.1","1.0","0.1","35.0"
"Elijah Higgins","ARI","21.9","201.0","0.8","0.6","35.0"
"Marlin Klein","HOU","19.5","192.4","1.1","0.5","34.6"
"John Bates","WAS","17.1","169.3","1.6","0.6","33.8"
"Jeremy Ruckert","NYJ","19.7","146.3","1.3","0.0","32.0"
"Drew Sample","CIN","17.3","146.4","1.2","0.1","30.0"
"Luke Musgrave","GB","16.3","157.7","1.0","0.0","29.9"
"Nate Boerkircher","JAC","14.9","156.8","1.3","0.5","29.8"
"Connor Heyward","LV","14.0","102.0","2.0","0.0","29.2"
"Jake Tonges","SF","14.8","146.6","1.2","0.0","29.2"
"Nick Vannett","SEA","10.0","95.0","2.0","0.0","26.5"
"Nate Adkins","DEN","11.9","88.4","1.8","0.0","25.8"
"Cade Stover","HOU","15.3","127.3","0.9","0.1","25.5"
"Jackson Hawes","BUF","10.6","115.1","1.4","0.0","25.4"
"Ben Sinnott","WAS","11.1","114.3","1.4","0.0","25.3"
"Jack Endries","CIN","13.0","123.0","1.0","0.0","24.8"
"Zack Kuntz","DAL","12.0","127.0","1.0","0.0","24.7"
"Luke Schoonmaker","DAL","13.2","121.5","0.9","0.0","24.4"
"Will Mallory","IND","11.0","125.0","1.0","0.0","24.0"
"Hayden Rucci","SF","12.0","117.0","1.0","0.0","23.7"
"Grant Calcaterra","PHI","11.0","115.0","1.0","0.0","23.0"
"Foster Moreau","HOU","9.3","105.2","1.3","0.0","22.9"
"Bauer Sharp","TB","11.0","113.0","1.0","0.0","22.8"
"Tanner Hudson","CIN","13.1","110.3","0.9","0.1","22.7"
"Cam Grandy","CIN","13.0","100.0","1.0","0.0","22.5"
"Mo Alie-Cox","IND","10.6","113.7","0.9","0.1","22.1"
"Charlie Woerner","ATL","13.5","114.4","0.6","0.0","21.7"
"Thomas Fidone II","NYG","10.0","101.0","1.0","0.0","21.1"
"Drake Dabney","GB","10.0","94.0","1.0","0.0","20.4"
"Durham Smythe","BAL","9.8","93.9","0.7","0.1","18.6"
"Mitchell Evans","CAR","8.0","71.5","1.0","0.0","17.2"
"Max Klare","LAR","7.5","82.5","0.7","0.0","16.1"
"Brevyn Spann-Ford","DAL","7.4","71.4","0.7","0.0","14.8"
"Tanner Koziol","JAC","7.0","73.8","0.6","0.0","14.7"
"Devin Culp","TB","5.5","59.0","1.0","0.0","14.7"
"Payne Durham","TB","7.2","70.5","0.6","0.1","14.3"
"Oscar Delp","NO","7.8","74.0","0.5","0.1","14.1"
"Hunter Long","ARI","7.9","60.6","0.6","0.0","13.6"
"Josh Cuevas","BAL","5.7","66.4","0.6","0.0","13.3"
"Josh Whyle","GB","6.8","59.6","0.7","0.0","13.3"
"Ian Thomas","LV","6.9","61.5","0.6","0.0","13.0"
"Blake Whiteheart","CLE","7.1","63.4","0.3","0.1","11.9"
"Jackson Meeks","DET","3.9","37.2","0.3","0.0","7.5"
"Ko Kieft","TB","3.7","36.1","0.3","0.0","7.2"
"Drew Ogletree","IND","3.6","36.2","0.3","0.0","7.0"
"Luke Farrell","SF","3.8","36.0","0.3","0.0","6.9"
"Eric Saubert","SEA","3.4","34.4","0.3","0.0","6.9"
"Sam Roush","CHI","3.7","33.9","0.3","0.0","6.8"
"Johnny Mundt","PHI","3.5","35.4","0.2","0.0","6.5"
"Carsen Ryan","CLE","3.8","33.8","0.2","0.0","6.2"
"Chris Manhertz","NYG","1.8","16.3","0.1","0.0","3.2"
"Quintin Morris","JAC","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","MIA","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","0.0","0.0","0.0","0.0","0.0"
"Lucas Krull","DEN","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","0.0","0.0","0.0","0.0","0.0"
"Tip Reiman","ARI","0.0","0.0","0.0","0.0","0.0"
"Joe Royer","CLE","0.0","0.0","0.0","0.0","0.0"
""
""
