"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Puka Nacua","LAR","117.0","1539.0","9.0","12.9","85.0","1.3","1.0","281.0"
"Ja'Marr Chase","CIN","121.2","1511.6","10.6","3.0","17.0","0.0","1.0","275.3"
"Jaxon Smith-Njigba","SEA","110.9","1567.9","9.5","5.5","30.4","0.1","1.1","270.5"
"Amon-Ra St. Brown","DET","117.4","1391.1","10.5","3.1","11.8","0.0","0.4","261.3"
"Drake London","ATL","98.4","1272.9","8.8","0.0","0.0","0.0","1.0","227.1"
"CeeDee Lamb","DAL","97.5","1295.1","7.5","2.4","12.6","0.0","0.3","224.2"
"Justin Jefferson","MIN","99.2","1309.8","7.1","1.3","5.6","0.0","0.3","223.5"
"Rashee Rice","KC","96.5","1069.5","9.6","5.4","25.6","0.9","0.6","219.2"
"Chris Olave","NO","95.8","1195.3","7.9","0.3","0.0","0.0","0.3","214.0"
"A.J. Brown","NE","87.6","1232.6","7.7","0.0","0.0","0.0","0.3","212.6"
"George Pickens","DAL","82.5","1199.8","8.4","0.3","0.0","0.0","0.4","210.7"
"Nico Collins","HOU","82.6","1204.4","7.3","1.4","8.3","0.4","0.8","206.6"
"Zay Flowers","BAL","81.2","1157.0","6.5","9.9","58.8","0.5","1.5","201.1"
"Malik Nabers","NYG","82.2","1081.8","8.4","2.8","8.3","0.1","0.4","200.2"
"Garrett Wilson","NYJ","96.4","1094.8","6.4","1.1","4.3","0.0","1.0","194.7"
"Tetairoa McMillan","CAR","81.1","1145.8","6.6","0.0","0.0","0.0","0.9","193.1"
"DeVonta Smith","PHI","87.8","1134.4","6.0","0.0","0.0","0.0","0.3","192.8"
"Emeka Egbuka","TB","73.2","1097.2","7.5","1.4","7.3","0.0","0.3","191.6"
"Davante Adams","LAR","68.9","924.8","10.2","0.0","0.0","0.0","0.2","187.8"
"Tee Higgins","CIN","70.7","965.5","9.1","0.0","0.0","0.0","0.2","186.3"
"Jameson Williams","DET","64.4","1065.5","6.6","7.3","42.0","0.5","0.2","185.1"
"Ladd McConkey","LAC","79.2","1009.7","6.8","0.0","0.0","0.0","0.3","180.6"
"Terry McLaurin","WAS","68.7","971.4","7.4","0.3","0.3","0.0","0.3","175.0"
"Rome Odunze","CHI","62.6","964.9","7.8","0.3","1.3","0.0","0.3","174.1"
"DJ Moore","BUF","69.4","904.9","7.0","10.3","54.0","0.5","0.8","173.8"
"Jaylen Waddle","DEN","74.2","991.3","6.0","1.7","12.4","0.0","0.3","173.0"
"Luther Burden III","CHI","72.9","974.5","5.7","7.7","37.9","0.1","0.3","171.9"
"Mike Evans","SF","67.1","941.4","6.9","0.0","0.0","0.0","0.2","168.8"
"Christian Watson","GB","57.6","918.8","7.4","1.7","8.7","0.0","0.3","165.5"
"Marvin Harrison Jr.","ARI","67.2","959.9","6.0","0.0","0.0","0.0","0.3","165.1"
"Courtland Sutton","DEN","67.4","884.1","7.2","0.0","0.0","0.0","0.2","164.8"
"Alec Pierce","IND","56.4","977.1","6.4","0.0","0.0","0.0","0.3","164.0"
"DK Metcalf","PIT","64.3","926.7","6.1","0.7","3.3","0.3","0.2","163.0"
"Parker Washington","JAC","62.6","862.8","5.7","5.0","13.7","0.1","0.4","153.1"
"Brian Thomas Jr.","JAC","58.0","871.2","5.4","2.7","17.7","0.4","0.2","152.1"
"Michael Pittman Jr.","PIT","80.5","805.9","5.0","0.0","0.0","0.0","0.3","150.0"
"Carnell Tate","TEN","65.2","887.4","4.5","0.7","3.0","0.0","1.4","145.8"
"Jayden Reed","GB","62.8","749.2","4.8","12.7","93.7","0.2","0.4","144.6"
"Jakobi Meyers","JAC","68.3","787.3","5.1","4.3","22.7","0.1","0.8","144.6"
"Michael Wilson","ARI","67.5","839.0","4.5","0.0","0.7","0.0","0.2","144.1"
"Quentin Johnston","LAC","53.6","756.9","6.9","1.7","5.9","0.0","0.7","143.1"
"Chris Godwin Jr.","TB","67.8","773.4","5.2","0.3","0.3","0.0","0.3","141.8"
"Jordan Addison","MIN","55.3","757.7","5.4","2.7","37.2","0.4","0.2","141.4"
"Xavier Worthy","KC","55.2","722.1","4.2","15.5","99.4","0.9","0.2","139.8"
"Wan'Dale Robinson","TEN","79.9","805.4","3.0","2.0","9.5","0.1","0.3","139.1"
"KC Concepcion","CLE","64.8","808.1","4.1","4.2","22.5","0.1","1.3","137.8"
"De'Zhaun Stribling","SF","55.4","821.1","4.9","1.5","6.5","0.0","1.3","137.1"
"Romeo Doubs","NE","57.1","745.1","5.5","0.0","0.0","0.0","0.3","135.3"
"Deebo Samuel Sr.","SF","56.1","631.8","4.3","29.1","111.6","1.1","0.4","134.1"
"Matthew Golden","GB","55.9","750.8","4.6","6.2","30.3","0.1","0.4","133.2"
"Stefon Diggs","WAS","67.0","746.5","4.1","0.3","0.7","0.0","0.2","132.6"
"Rashid Shaheed","SEA","49.9","754.2","3.8","13.4","88.9","0.3","0.8","131.7"
"Khalil Shakir","BUF","69.7","726.1","3.9","1.1","5.5","0.0","0.8","130.1"
"Josh Downs","IND","68.7","704.5","4.2","1.4","4.2","0.0","0.8","129.3"
"Jalen Coker","CAR","60.6","717.3","4.5","0.0","0.0","0.0","0.8","127.4"
"Denzel Boston","CLE","62.2","769.1","3.5","1.0","5.0","0.0","1.3","126.8"
"Jerry Jeudy","CLE","59.0","774.9","3.4","0.5","2.0","0.0","0.7","125.9"
"Calvin Ridley","TEN","46.7","762.3","3.2","4.5","27.5","0.6","0.2","124.8"
"Makai Lemon","PHI","52.7","738.0","4.4","1.5","6.5","0.0","1.3","124.4"
"Tre Tucker","LV","50.2","631.1","3.8","11.2","54.6","0.2","0.1","116.9"
"Rashod Bateman","BAL","38.8","598.2","6.0","0.0","0.0","0.0","0.2","114.8"
"Kayshon Boutte","HOU","45.1","624.7","4.8","0.0","0.0","0.0","0.2","113.4"
"Keenan Allen","IND","58.4","606.8","3.9","0.0","0.0","0.0","0.3","112.4"
"Ja'Kobi Lane","BAL","39.2","592.1","5.4","1.5","8.5","0.0","0.7","110.7"
"Jalen McMillan","TB","46.6","606.6","3.9","4.7","26.8","0.1","0.2","110.4"
"Jauan Jennings","MIN","48.9","557.2","5.2","0.0","0.0","0.0","0.7","109.8"
"Jalen Nailor","LV","43.7","587.2","4.0","2.0","9.0","0.0","0.2","105.3"
"Devaughn Vele","NO","47.3","567.2","3.7","0.0","0.0","0.0","0.2","102.0"
"Cooper Kupp","SEA","47.4","583.8","3.4","0.5","1.5","0.0","0.7","101.4"
"Jaylin Noel","HOU","45.3","514.5","3.6","5.1","17.6","0.1","0.3","97.2"
"Adonai Mitchell","NYJ","40.0","550.8","3.3","2.1","5.1","0.1","0.7","94.3"
